ID,Page,Product_Title,Price_Formatted,Raw_Price,Description,Image_Path
WS-054,13,Sara White (Ind),"₹6,900",6900,Glass flled nylon mesh back with inbuilt lumbar support & fabric seat. Fix PP armrest attached to the back. Center tit mechanism with single position lock. 650mm chrome base with 60 mm nylon castors & class 4 gaslft.,/extracted_product_images/workstation_054.jpg
WS-055,13,Sara (Ind),"₹6,200",6200,Glass flled nylon mesh back with inbuilt lumbar support & fabric seat. Fix PP armrest attached to the back. Center tilt mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslft.,/extracted_product_images/workstation_055.jpg
WS-056,14,Astor Visitor (Imp),"₹15,000",15000,Finest composite leather on back & seat. Chrome finish armrest with pu pad. Round M.S. chrome plated cantilever pipe frame.,/extracted_product_images/workstation_056.jpg
WS-057,14,Sleek Visitor (Imp / Ind),"₹10,500",10500,Finest composite leather on back & seat. Chrome finish armrest with pu pad. Round M.S. chrome plated cantilever pipe frame.,/extracted_product_images/workstation_057.jpg
WS-058,14,Colt Visitor (White) (Ind),"₹7,900",7900,Commercial Ergonomic Workstation Chair with Mesh/Fabric Support.,/extracted_product_images/workstation_058.jpg
WS-059,14,Colt Visitor (Black) (Ind),"₹7,400",7400,Glass flled nylon mesh back & fabric seat. Fix PP armrest attached to the back. Oblong M.S. chrome plated cantilever pipe frame.,/extracted_product_images/workstation_059.jpg
WS-060,14,Queen Visitor (White (Ind),"₹7,700",7700,Commercial Ergonomic Workstation Chair with Mesh/Fabric Support.,/extracted_product_images/workstation_060.jpg
WS-061,14,Queen Visitor (Black) (Ind),"₹7,100",7100,Glass flled nylon bucket shell with mesh back & fabric seat. Fix PP armrest attached to the back. Oblong M.S. chrome plated cantilever pipe frame.,/extracted_product_images/workstation_061.jpg
WS-062,15,Octa Visitor,"₹8,500",8500,Glass filled nylon mesh back & fabric seat. Fix PP armrest attached to the back. Oblong M.S. chrome plated cantilever pipe frame.,/extracted_product_images/workstation_062.jpg
WS-063,15,Sara Pp (White) (Ind),"₹6,400",6400,Commercial Ergonomic Workstation Chair with Mesh/Fabric Support.,/extracted_product_images/workstation_063.jpg
WS-064,15,Sara Pp (Black) (Ind),"₹4,900",4900,Glass filled nylon mesh back attached with arms. PU cushion seat with hotpressed plywood. Fix PP legs.,/extracted_product_images/workstation_064.jpg
WS-065,15,Queen Pp (White) (Ind),"₹6,500",6500,Commercial Ergonomic Workstation Chair with Mesh/Fabric Support.,/extracted_product_images/workstation_065.jpg
WS-066,15,Queen Pp (Black) (Ind),"₹5,100",5100,Glass filled nylon bucket shell with mesh back. PU cushion seat with hotpressed plywood. Fix PP legs.,/extracted_product_images/workstation_066.jpg
WS-067,15,Cosmo Cushion (Ind),"₹4,100",4100,Glass filled nylon back along with arms. PU cushion seat with hotpressed plywood. Mild steel powder coated heavy gauge frame.,/extracted_product_images/workstation_067.jpg
WS-068,16,Key W/O Tablet (Ind) - Black,"₹6,900",6900,Commercial Ergonomic Workstation Chair with Mesh/Fabric Support.,/extracted_product_images/workstation_068.jpg
WS-069,16,Key Tablet (Ind) - Black,"₹7,700",7700,Glass filled nylon mesh back & fabric seat. Multibend seat plywood with PU cushion & PP seat outer. PP armrest with forward- backward movement. M.S oblong powder coated pipe frame chair with castors/ bush.,/extracted_product_images/workstation_069.jpg
WS-070,16,Cosmo Tablet (Ind),"₹5,600",5600,Glass flled nylon back with arms & fabric seat. Flip top design PP writing pad with metal support frame. Mild steel powder coated round pipe frame.,/extracted_product_images/workstation_070.jpg
WS-071,16,Flip Tablet (Imp) Grey,"₹12,000",12000,One piece PP shell with fabric seat. Flip top design PP writing pad with metal support frame. Mild steel powder coated round pipe frame.,/extracted_product_images/workstation_071.jpg
WS-072,16,Sweden Tablet (Ind),"₹5,800",5800,One piece PP shell with fabric seat. Flip top design PP writing pad with metal support frame. Mild steel powder coated round pipe frame.,/extracted_product_images/workstation_072.jpg
